Rank;City;Country;Number of skyscrapers
1;Hong Kong; China;518
2;Shenzhen; China;343
3;New York; United States;300
4;Dubai; United Arab Emirates;237
5;Shanghai; China;180
6;Tokyo; Japan;165
7;Guangzhou; China;152
8;Kuala Lumpur; Malaysia;148
9;Chongqing; China;135
10;Chicago; United States;135
11;Wuhan; China;112
12;Bangkok; Thailand;108
13;Jakarta; Indonesia;108
14;Singapore; Singapore;96
15;Shenyang; China;96
16;Chengdu; China;94
17;Mumbai; India;85
18;Seoul; South Korea;82
19;Toronto; Canada;81
20;Busan; South Korea;74
21;Melbourne; Australia;67
22;Nanjing; China;66
23;Panama City; Panama;65
24;Tianjin; China;64
25;Nanning; China;63
26;Miami; United States;55
27;Makati; Philippines;53
28;Beijing; China;52
29;Changsha; China;51
30;Incheon; South Korea;50
31;Istanbul; Turkey;48
32;Dalian; China;48
33;Moscow; Russia;65
34;Abu Dhabi; United Arab Emirates;44
35;Doha; Qatar;44
36;Osaka; Japan;43
37;Hangzhou; China;43
38;Houston; United States;40
39;Sydney; Australia;38
40;Zhuhai; China;35
41;Macau; China;32
42;Xiamen; China;32
43;Nanchang; China;31
44;Suzhou; China;31
45;London; United Kingdom;30
46;Jinan; China;29
47;Qingdao; China;29
48;Ningbo; China;29
49;Hefei; China;29
50;Los Angeles; United States;27
51;San Francisco; United States;26
52;Wuxi; China;25
53;Sharjah; United Arab Emirates;25
54;Mexico City; Mexico;24
55;Liuzhou; China;23
56;Guiyang; China;22
57;Seattle; United States;22
58;Boston; United States;22
59;Ho Chi Minh City; Vietnam;22
60;Balneario Camboriu; Brazil;22
61;Dallas; United States;21
62;Riyadh; Saudi Arabia;21
63;Johor Bahru; Malaysia;20
64;Taiyuan; China;19
65;Kunming; China;18
66;Lanzhou; China;18
67;Mandaluyong; Philippines;18
68;Calgary; Canada;18
69;Dongguan; China;18
70;Xi'an; China;17
71;Kuwait City; Kuwait;17
72;Frankfurt; Germany;17
73;Taguig; Philippines;17
74;Atlanta; United States;17
75;Fuzhou; China;17
76;Brisbane; Australia;16
77;S?o Paulo; Brazil;16
78;Tel Aviv; Israel;16
79;Delhi NCR; India;15
80;Pyongyang; North Korea;15
81;Las Vegas; United States;15
82;Philadelphia; United States;15
83;Manama; Bahrain;15
84;Taichung; Taiwan;15
85;Goyang; South Korea;14
86;Jersey City; United States;14
87;Taipei; Taiwan;14
88;Courbevoie (Grand Paris); France;13
89;Kolkata; India;12
90;Bogot?; Colombia;12
91;Buenos Aires; Argentina;12
92;Sunny Isles Beach; United States;12
93;Pattaya; Thailand;12
94;Hanoi; Vietnam;12
95;Nagoya; Japan;11
96;Minneapolis; United States;11
97;Shijiazhuang; China;11
98;Colombo; Sri Lanka;11
99;Pasig; Philippines;11
100;Ankara; Turkey;11
101;Zhengzhou; China;11
102;Kawasaki; Japan;10
103;Daejeon; South Korea;10
104;Pittsburgh; United States;10
105;Warsaw; Poland;10
106;Montreal; Canada;10
